b1,b3,b4,b5,b9a,b9b,b10a,b14a,b14b,b14c,b14d,b14e,b14f,b15,b16,b17,b18,b19,b20,b23,b24,b29,b30,b49,b50,b52a,b52b,b52c,b52d
77,4,2,55,2,,18,2,2,2,2,2,2,1,40,1,1,2,3,100,1,10,10,1,2,3000,2500,2000,1500
77,4,2,61,2,,31,2,2,2,2,2,2,1,37,2,1,1,3,6,3,2,2,1,3,1,1,0,0
72,4,2,62,2,,7,2,2,2,2,2,2,1,47,1,1,2,3,6,4,1,1,1,3,2,2,0,0
72,4,2,63,2,,1,2,2,1,2,2,2,1,30,2,1,2,3,5,4,1,999,,2,0,1,0,0
77,4,2,64,2,,1,2,2,1,2,2,2,1,41,1,1,2,3,7,1,4,1,1,3,1,1,7,2
72,4,2,66,2,,7,2,2,2,2,2,2,1,51,1,1,2,3,6,4,1,1,0.2,3,1,2,0,0
77,4,2,69,2,,1,2,2,2,2,2,2,1,44,2,1,2,3,100,3,2,1,888,3,1,1,2,2
73,4,2,71,2,,7,1,1,1,2,1,2,1,20,1,2,1,3,100,4,1,1,1,2,3,3,5,6
72,4,2,74,2,,1,2,2,1,2,2,2,1,50,2,1,2,3,7,3,3,1,3,2,0,3,14,3
71,4,2,76,2,,7,2,2,1,2,2,2,1,25,1,1,1,2,7,4,3,2,888,1,2,1,5,10
73,4,2,77,2,,1,1,2,1,2,2,2,1,26,2,1,1,3,6,3,2,1,0.5,3,4,9,6,3
72,4,2,78,2,,2,2,2,1,2,2,2,1,26,1,1,2,3,5,3,1,1,1,2,4,3,4,4
78,4,2,82,2,,7,2,2,2,2,2,2,1,35,1,1,2,1,6,2,2,1,1,1,2,2,1,2
70,4,2,84,5,202,,,,,,,,,,,,,,,,,,,,,,,
70,4,2,86,2,,1,2,2,2,2,2,2,1,29,1,1,2,2,6,4,2,2,1,2,2,1,7,0
77,4,2,87,2,,7,2,2,2,2,2,2,1,65,1,1,2,3,1,3,1,1,1,1,1,2,0,0
77,4,2,89,2,,7,2,2,1,2,2,2,1,24,1,1,2,2,6,3,4,4,,3,2,5,10,5
72,4,2,90,2,,7,2,2,2,2,2,2,1,23,2,1,2,3,1,4,1,1,2,2,1,3,0,0
72,4,2,91,2,,2,2,2,2,2,2,2,1,28,2,1,2,3,5,5,4,3,2,2,2,2,0,0
69,4,2,93,4,,25,,,,,,,,,,,,,,,,,,,,,,
73,4,2,94,2,,18,2,2,1,2,2,2,1,30,1,1,1,3,1,1,3,3,0.5,1,20,40,30,15
69,4,2,96,2,,2,2,2,2,2,2,2,1,22,1,1,2,3,7,3,1,1,1,2,3,2,50,30
69,4,2,99,2,,15,2,2,2,2,2,2,1,19,1,1,2,3,100,1,2,3,1,2,2,0,40,25
71,4,2,101,2,,1,2,2,2,2,2,2,1,30,1,1,2,3,100,2,2,2,888,2,1,2,4,10
78,4,2,106,2,,7,2,2,2,2,2,2,1,30,2,1,2,3,6,2,1,1,1,1,0,3,1,0
77,4,2,110,2,,15,2,2,2,2,2,2,1,26,1,1,2,3,100,100,7,2,0.02,3,1,0,55,5
70,4,2,123,2,,1,2,2,2,2,2,2,1,39,1,1,2,2,7,1,888,888,,1,2,3,20,10
78,4,2,124,2,,1,2,2,2,2,2,2,1,32,1,1,2,3,7,2,3,2,1,2,2,4,15,8
78,4,2,194,2,,20,1,1,2,2,2,2,1,29,1,1,2,1,100,1,4,2,1,2,4,5,12,6
71,4,2,215,2,,1,2,2,1,2,2,2,1,24,2,1,1,3,100,3,1,1,1,3,0,1,0,3
69,4,2,217,2,,7,2,2,1,2,2,2,1,20,1,1,2,3,6,4,2,3,1,2,2,3,5,5
69,4,2,218,2,,1,2,2,2,2,2,2,1,46,2,1,2,3,100,3,1,1,1,2,0,1,20,15
71,4,2,220,4,,1,,,,,,,,,,,,,,,,,,,,,,
71,4,2,221,2,,7,2,2,2,2,2,2,1,54,2,1,2,3,100,1,3,2,,2,0,2,0,0
71,4,2,223,2,,31,2,2,1,2,2,2,1,39,2,1,1,3,100,4,2,2,0.02,3,1,1,7,2
71,4,2,224,2,,1,2,2,2,2,2,2,1,25,2,1,1,2,4,3,2,2,888,2,0,1,15,3
69,4,2,234,2,,7,2,2,2,2,2,2,1,27,1,1,2,3,6,3,1,1,1,2,7,8,20,10
69,4,2,237,2,,7,2,2,2,2,2,2,1,42,2,1,2,3,100,100,2,2,1,2,2,1,15,9
71,4,2,239,2,,1,2,2,2,2,2,2,1,40,1,1,1,3,6,1,2,2,1,3,0,1,6,4
69,4,2,243,2,,1,2,2,1,2,2,2,1,36,1,1,2,3,100,4,1,2,1,2,2,1,20,10
125,2,3,4,2,,1,2,2,2,2,2,2,1,28,2,1,1,3,6,3,2,1,1,2,0,1,1,0
124,2,3,7,2,,16,2,2,2,2,2,2,1,25,1,1,2,3,6,2,4,2,1,2,3,0,10,1
121,2,3,8,2,,31,1,1,1,2,2,2,1,38,1,1,3,3,1,1,1,2,0.5,2,5,3,15,30
122,2,3,18,5,20,,,,,,,,,,,,,,,,,,,,,,,
124,2,3,19,2,,1,2,2,2,2,2,2,1,25,2,1,2,3,6,100,1,4,1,1,3,2,1,0
125,2,3,20,2,,1,2,2,2,2,2,2,1,26,2,1,2,3,6,1,2,1,,1,0,1,3,1
123,2,3,22,2,,1,2,2,1,2,2,2,1,25,2,1,1,3,6,3,1,1,0.1,3,0,1,10,0
123,2,3,23,5,114,,,,,,,,,,,,,,,,,,,,,,,
124,2,3,25,2,,1,2,2,2,2,2,2,1,20,2,2,1,3,3,1,1,1,1,3,1,1,20,1
123,2,3,27,5,19,,,,,,,,,,,,,,,,,,,,,,,
125,2,3,34,2,,1,2,2,1,2,2,2,1,51,1,1,2,3,5,2,1,1,1,2,1,1,6,4
125,2,3,35,5,115,,,,,,,,,,,,,,,,,,,,,,,
121,2,3,36,2,,31,,,,,,,2,,,,,,,,,,,,,,,
121,2,3,37,2,,31,2,1,1,2,2,2,1,54,1,1,2,3,7,2,1,2,0.5,2,1,0,0,0
122,2,3,41,2,,18,2,2,2,2,2,1,1,48,1,2,5,3,4,1,4,5,1,2,8,3,0,0
125,2,3,42,5,4,,,,,,,,,,,,,,,,,,,,,,,
122,2,3,48,2,,1,2,2,2,2,2,2,1,30,2,1,2,2,4,1,5,1,1,3,0,1,0,0
123,2,3,49,2,,1,2,2,2,2,2,2,1,40,2,1,1,2,5,4,2,1,0.1,2,3,2,2,0
125,2,3,53,5,137,,,,,,,,,,,,,,,,,,,,,,,
105,2,3,55,2,,5,1,1,1,2,2,2,1,35,1,1,2,2,3,1,8,8,1,2,20,10,20,9
124,2,3,76,2,,1,2,2,1,2,2,2,1,31,1,2,2,3,6,5,4,2,1,2,2,1,2,1
124,2,3,105,1,,,,,,,,,,,,,,,,,,,,,,,,
123,2,3,110,1,,,,,,,,,,,,,,,,,,,,,,,,
124,2,3,114,2,,1,2,2,1,2,2,2,1,28,1,1,2,3,6,5,4,5,1,2,2,2,23,10
125,2,3,115,2,,1,2,2,2,2,2,2,1,38,2,1,2,3,7,2,2,2,1,2,0,1,16,23
124,2,3,123,1,,,,,,,,,,,,,,,,,,,,,,,,
121,2,3,124,2,,1,2,2,2,2,2,2,1,23,2,1,5,1,7,3,3,2,0.5,2,0,1,2,0
123,2,3,127,2,,20,2,2,2,2,2,2,1,26,1,1,2,2,100,100,2,1,0.5,3,2,1,5,1
123,2,3,128,2,,2,2,2,2,2,2,2,1,20,2,1,2,1,7,2,1,1,0.05,3,0,1,10,5
121,2,3,131,4,,1,,,,,,,,,,,,,,,,,,,,,,
125,2,3,137,2,,1,2,2,2,2,2,2,1,56,1,1,2,3,7,2,2,1,2,2,0,0,2,0
123,2,3,143,2,,21,2,2,2,2,2,2,1,23,1,1,2,1,100,100,1,1,0.5,2,2,0,1,0
122,2,3,145,2,,1,2,2,2,2,2,2,1,40,1,1,1,3,100,2,4,1,2,3,1,2,3,1
122,2,3,147,2,,1,2,2,2,2,2,2,1,67,1,1,2,3,100,100,2,1,2,3,2,2,5,3
122,2,3,148,2,,1,2,2,2,2,2,2,1,32,2,1,2,2,4,2,6,1,1,2,0,1,3,0
122,2,3,153,2,,1,2,2,2,2,2,2,1,18,1,1,1,2,3,1,1,1,1,2,2,1,2,2
125,2,3,155,5,20,,,,,,,,,,,,,,,,,,,,,,,
123,2,3,184,2,,1,2,2,2,2,2,2,1,25,1,1,2,3,5,4,3,2,200,3,1,4,1,0
104,4,3,2,2,,5,2,2,2,2,2,2,1,38,1,1,7,3,6,1,6,5,0.1,1,30,20,5,2
104,4,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,
105,4,3,11,5,60,,,,,,,,,,,,,,,,,,,,,,,
101,4,3,13,2,,20,2,2,2,2,2,2,1,30,2,1,1,3,100,1,1,1,1,3,0,1,0,0
101,4,3,15,2,,7,2,2,2,2,2,2,1,24,1,1,1,3,100,4,2,1,,2,1,0,0,2
105,4,3,16,2,,7,,,,,,,2,,,,,,,,,,,,,,,
105,4,3,17,2,,7,,,,,,,2,,,,,,,,,,,,,,,
101,4,3,21,2,,1,2,2,2,2,2,2,1,21,2,1,1,888,7,3,1,1,1,1,0,1,3,2
102,4,3,26,2,,7,2,2,2,2,2,2,1,23,2,1,1,2,6,4,2,1,,2,3,2,2,0
105,4,3,30,2,,1,2,2,2,2,2,2,1,23,2,1,2,1,888,,888,888,888,2,1,1,2,0
105,4,3,38,2,,20,2,2,2,2,2,2,1,20,2,1,2,3,5,3,1,1,,1,2,2,1,0
102,4,3,39,2,,1,2,2,2,2,2,2,1,38,2,1,1,3,6,1,2,2,0,2,0,2,3,2
102,4,3,40,3,,16,,,,,,,,,,,,,,,,,,,,,,
102,4,3,47,2,,1,2,2,2,2,2,2,1,42,1,1,1,3,6,2,2,1,0.1,2,1,0,5,1
105,4,3,54,2,,1,1,2,2,2,2,2,1,22,2,1,2,1,1,3,1,1,1,2,0,1,1,0
102,4,3,56,2,,1,2,2,1,2,2,2,1,52,1,1,1,2,6,2,2,2,1,2,1,0,2,2
103,4,3,57,2,,1,2,2,2,2,2,2,1,44,1,1,2,3,3,1,1,1,1,3,1,1,13,0
105,4,3,60,2,,7,2,2,1,2,2,2,1,28,2,1,2,3,888,,888,888,1,2,1,1,1,0
104,4,3,65,2,,20,,,,,,,2,,,,,,,,,,,,,,,
105,4,3,66,2,,7,2,2,2,2,2,2,1,36,2,1,2,3,3,2,1,1,1,3,0,3,0,1
105,4,3,67,2,,31,2,2,2,2,2,2,1,25,2,1,2,3,6,1,3,1,1,2,3,4,17,2
101,4,3,69,2,,7,1,1,1,2,2,2,1,24,1,1,1,3,5,4,2,1,1,2,5,0,5,2
102,4,3,70,2,,1,2,2,2,2,2,2,1,20,1,1,1,1,6,1,2,2,15,2,1,1,7,3
105,4,3,73,2,,1,1,2,1,2,2,1,1,54,1,1,2,3,6,4,3,3,1,3,0,0,1,0
102,4,3,77,1,,,,,,,,,,,,,,,,,,,,,,,,
102,4,3,80,3,,19,,,,,,,,,,,,,,,,,,,,,,
104,4,3,82,4,,7,,,,,,,,,,,,,,,,,,,,,,
101,4,3,85,2,,1,2,2,2,2,2,2,1,19,2,1,1,888,100,3,888,888,,2,0,1,7,1
102,4,3,86,3,,1,,,,,,,,,,,,,,,,,,,,,,
102,4,3,87,2,,1,2,2,2,2,2,2,1,28,2,1,1,2,6,2,2,2,0,2,0,1,10,6
104,4,3,96,2,,1,2,2,2,2,2,2,1,23,2,1,2,3,6,3,1,1,,1,0,3,0,0
103,4,3,100,2,,1,2,2,2,2,2,2,1,23,2,1,1,3,1,4,2,2,1,3,1,1,20,7
